,street_number,street_name,neighborhood,city,postal_code,lon,lat,HUNDRED_BLOCK,count,address
23,Nordel Way FS Scott Rd,Greater Vancouver,British Columbia,Canada,Canada,-122.8902894,49.1620162,12000 NORDEL WAY,395,12000 NORDEL WAY Surrey
24,12110,Nordel Way,Newton,Surrey,V3W 1P6,-122.887856,49.1619013,12100 NORDEL WAY,361,12100 NORDEL WAY Surrey
25,12077 B,72 Avenue,Newton,Surrey,V3W 2M1,-122.8881943,49.13403,12100 72ND AVE,354,12100 72ND AVE Surrey
26,9705,168 Street,Surrey,Greater Vancouver,V4N 2E1,-122.7562358,49.1787007,9800 168TH ST,347,9800 168TH ST Surrey
27,15980,Fraser Highway,Surrey,Greater Vancouver,V3S 2W4,-122.7822889,49.1583767,15900 FRASER HWY,326,15900 FRASER HWY Surrey
28,6894,King George Boulevard,Newton,Surrey,V3W 4Z9,-122.8456329,49.1279477,6900 KING GEORGE BLVD,322,6900 KING GEORGE BLVD Surrey
29,128 St FS 96 Ave,Surrey,Greater Vancouver,British Columbia,V3V 6A8,-122.8680917,49.1771265,12800 96TH AVE,320,12800 96TH AVE Surrey
30,3012,152 Street,Surrey,Greater Vancouver,V4P 3N7,-122.8011097,49.0563807,3000 152ND ST,292,3000 152ND ST Surrey
31,13402,King George Boulevard,Whalley,Surrey,V3T 2T8,-122.8510407,49.202303,13400 KING GEORGE BLVD,290,13400 KING GEORGE BLVD Surrey
32,12190,King George Boulevard,Surrey,Greater Vancouver,V3V 3K2,-122.8847738,49.2057238,12200 KING GEORGE BLVD,284,12200 KING GEORGE BLVD Surrey
33,15286,Fraser Highway,Surrey,Greater Vancouver,V3R 3P4,-122.7985645,49.1647272,15300 FRASER HWY,284,15300 FRASER HWY Surrey
34,10606,King George Boulevard,Whalley,Surrey,V3T 2X3,-122.8449284,49.1955123,10600 KING GEORGE BLVD,283,10600 KING GEORGE BLVD Surrey
35,72 Ave FS King George Blvd,Newton,Surrey,Greater Vancouver,V3W,-122.8455282,49.1334851,72ND AVE / KING GEORGE BLVD,267,72ND AVE / KING GEORGE BLVD Surrey
36,10225,City Parkway,Whalley,Surrey,V3T 4C3,-122.8477133,49.1885524,10200 CITY PKWY,259,10200 CITY PKWY Surrey
37,1332,102A Avenue,Whalley,Surrey,V3T 1P6,-122.8542119,49.1888419,13300 102A AVE,259,13300 102A AVE Surrey
38,14057,102A Avenue,Whalley,Surrey,V3T 1P8,-122.8501501,49.1885207,13400 102ND AVE,252,13400 102ND AVE Surrey
39,15760,Croydon Drive,Surrey,Greater Vancouver,V3S 2L6,-122.7847513,49.0462056,15700 CROYDON DR,251,15700 CROYDON DR Surrey
40,88 Ave FS King George Blvd,Surrey,Greater Vancouver,British Columbia,Canada,-122.8457214,49.1628028,88TH AVE / KING GEORGE BLVD,247,88TH AVE / KING GEORGE BLVD Surrey
41,13452,108 Avenue,Whalley,Surrey,V3T 2K1,-122.8487967,49.1989026,10800 CITY PKWY,246,10800 CITY PKWY Surrey
42,9400,128 Street,Surrey,Greater Vancouver,V3V 5N4,-122.8675209,49.1736188,9400 128TH ST,245,9400 128TH ST Surrey
43,3600,King George Boulevard,Surrey,Greater Vancouver,V4P 1B5,-122.8203034,49.0678002,3600 KING GEORGE BLVD,242,3600 KING GEORGE BLVD Surrey
44,152 St FS 88 Ave,Surrey,Greater Vancouver,British Columbia,Canada,-122.8014265,49.1628895,8800 152ND ST,241,8800 152ND ST Surrey
45,Southbound 128 St @ 82 Ave,Newton,Surrey,Greater Vancouver,V3W 3G1,-122.8679761,49.1499273,8100 128TH ST,240,8100 128TH ST Surrey
46,Eastbound 105 Ave @ 150 St,Guildford,Surrey,Greater Vancouver,V3R 7K3,-122.8063386,49.1942492,10600 150TH ST,229,10600 150TH ST Surrey
47,88 Ave FS King George Blvd,Surrey,Greater Vancouver,British Columbia,Canada,-122.8457116,49.162704,13700 88TH AVE,229,13700 88TH AVE Surrey
48,Southbound 144 St @ 57 Ave,South Newton,Surrey,Greater Vancouver,V3X 1A9,-122.8240329,49.1062987,14300 57TH AVE,225,14300 57TH AVE Surrey
49,10392,King George Boulevard,Whalley,Surrey,V3T 2W5,-122.8452331,49.191554,104TH AVE / KING GEORGE BLVD,224,104TH AVE / KING GEORGE BLVD Surrey
50,17900,20 Avenue,Surrey,Greater Vancouver,V3S,-122.7264465,49.0384345,17900 20TH AVE,223,17900 20TH AVE Surrey
51,17700,64 Avenue,Cloverdale,Surrey,V3S 1Z2,-122.732194,49.118608,17700 64TH AVE,222,17700 64TH AVE Surrey
52,17700,British Columbia 10,Surrey,Greater Vancouver,V3S 1C7,-122.7324022,49.103497,17700 56TH AVE,221,17700 56TH AVE Surrey
53,18696,Fraser Highway,North Cloverdale East,Surrey,V3S 7Y4,-122.7037479,49.1245047,18700 FRASER HWY,220,18700 FRASER HWY Surrey
54,10686,139 Street,Whalley,Surrey,V3T 4L7,-122.8364158,49.1969949,10700 139TH ST,217,10700 139TH ST Surrey
55,16518,Fraser Highway,Surrey,Greater Vancouver,V4N 0G5,-122.765237,49.1517237,16500 FRASER HWY,215,16500 FRASER HWY Surrey
56,10210,King George Boulevard,Whalley,Surrey,V3T 2W5,-122.8453551,49.1878104,13600 102ND AVE,213,13600 102ND AVE Surrey
57,152 Street,Surrey,Greater Vancouver,British Columbia,V3R,-122.8014026,49.1659895,152ND ST / FRASER HWY,205,152ND ST / FRASER HWY Surrey
58,34,26 Avenue,Morgan Heights,Surrey,V3S 2X5,-122.7828065,49.0491961,15800 26TH AVE,205,15800 26TH AVE Surrey
59,10501,British Columbia 99 Alternate,Whalley,Surrey,V3T 2X1,-122.8452261,49.1934629,10500 KING GEORGE BLVD,202,10500 KING GEORGE BLVD Surrey
60,13300,104 Avenue,Whalley,Surrey,V3T 1V4,-122.853667,49.191512,13300 104TH AVE,198,13300 104TH AVE Surrey
61,10188,Whalley Boulevard,Whalley,Surrey,V3T 5J6,-122.842711,49.1875817,10200 WHALLEY BLVD,197,10200 WHALLEY BLVD Surrey
62,15030,101 Avenue,Guildford,Surrey,V3R 0N3,-122.8057234,49.1860231,15000 101ST AVE,190,15000 101ST AVE Surrey
63,13300,Old Yale Road,Whalley,Surrey,V3T 3C6,-122.853708,49.186603,13300 OLD YALE RD,184,13300 OLD YALE RD Surrey
64,13906,Fraser Highway,Whalley,Surrey,V3T 4E7,-122.8372997,49.1795024,13900 FRASER HWY,183,13900 FRASER HWY Surrey
65,17608,British Columbia 10,Surrey,Greater Vancouver,V3S 1C5,-122.7350051,49.104125,5600 176TH ST,179,5600 176TH ST Surrey
66,4382,King George Boulevard,Surrey,Greater Vancouver,V3S 0L2,-122.8199983,49.081711,4600 KING GEORGE BLVD,177,4600 KING GEORGE BLVD Surrey
67,6794,186 Street,North Cloverdale East,Surrey,V3S 1Z1,-122.7070247,49.1257801,18600 FRASER HWY,172,18600 FRASER HWY Surrey
68,10700,150 Street,Guildford,Surrey,V3R 4C3,-122.8048093,49.1967817,10700 150TH ST,169,10700 150TH ST Surrey
69,64 Ave FS King George Blvd,Newton,Surrey,Greater Vancouver,Canada,-122.8456164,49.1190038,64TH AVE / KING GEORGE BLVD,168,64TH AVE / KING GEORGE BLVD Surrey
70,128 St FS 96 Ave,Surrey,Greater Vancouver,British Columbia,V3V 6A8,-122.8680917,49.1771265,128TH ST / 96TH AVE,165,128TH ST / 96TH AVE Surrey
71,13711,72 Avenue,Newton,Surrey,V3W 2P2,-122.8427847,49.1335284,13700 72ND AVE,162,13700 72ND AVE Surrey
72,8260,128 Street,Newton,Surrey,V3W 4G2,-122.8674453,49.1535222,8300 128TH ST,161,8300 128TH ST Surrey
73,128 St FS 96 Ave,Surrey,Greater Vancouver,British Columbia,V3V 6A8,-122.8679718,49.1771275,9500 128TH ST,161,9500 128TH ST Surrey
74,128 St FS 96 Ave,Surrey,Greater Vancouver,British Columbia,V3V 6A8,-122.8680917,49.1771265,96TH AVE / 128TH ST,161,96TH AVE / 128TH ST Surrey
75,14900,57 Avenue,South Newton,Surrey,V3S 8W3,-122.8096789,49.1061596,14900 57TH AVE,160,14900 57TH AVE Surrey
76,152 St FS Hwy 10,Surrey,Greater Vancouver,British Columbia,V3S,-122.8011739,49.1045154,152ND ST / 56TH AVE,159,152ND ST / 56TH AVE Surrey
77,King George Blvd FS 76 Ave,Newton,Surrey,Greater Vancouver,V3W,-122.8456282,49.1407871,76TH AVE / KING GEORGE BLVD,159,76TH AVE / KING GEORGE BLVD Surrey
78,7181,126 Street,Newton,Surrey,V3W 2M6,-122.8736383,49.1334415,12600 72ND AVE,158,12600 72ND AVE Surrey
79,King George Blvd FS 96 Ave,Surrey,Greater Vancouver,British Columbia,Canada,-122.8456401,49.1770793,96TH AVE / KING GEORGE BLVD,158,96TH AVE / KING GEORGE BLVD Surrey
80,1000,Guildford Town Centre,Guildford,Surrey,V3R 1N3,-122.8047627,49.1881597,1000 GUILDFORD TOWN CTR,157,1000 GUILDFORD TOWN CTR Surrey
81,10392,King George Boulevard,Whalley,Surrey,V3T 2W5,-122.8452331,49.191554,10400 KING GEORGE BLVD,156,10400 KING GEORGE BLVD Surrey
82,64 Ave FS 152 St,Surrey,Greater Vancouver,British Columbia,V3S,-122.8010616,49.1191135,152ND ST / 64TH AVE,156,152ND ST / 64TH AVE Surrey
83,Northbound Scott Rd @ 72 Ave,Newton,Surrey,Greater Vancouver,V3W 3M9,-122.890264,49.1351027,7300 120TH ST,156,7300 120TH ST Surrey
84,13618,100 Avenue,Whalley,Surrey,V3T 0A8,-122.8453983,49.1840948,10000 KING GEORGE BLVD,152,10000 KING GEORGE BLVD Surrey
85,15091,108 Avenue,Guildford,Surrey,V3R 1W5,-122.8036268,49.1987383,15100 108TH AVE,150,15100 108TH AVE Surrey
86,128 St FS 80 Ave,Newton,Surrey,Greater Vancouver,V3W,-122.8680816,49.1482197,128TH ST / 80TH AVE,149,128TH ST / 80TH AVE Surrey
87,202,2383,King George Boulevard,Surrey,V4A 5A4,-122.7935855,49.0455311,15500 24TH AVE,149,15500 24TH AVE Surrey
88,9634,King George Boulevard,Whalley,Surrey,V3T 2V4,-122.8456133,49.1774098,9600 KING GEORGE BLVD,149,9600 KING GEORGE BLVD Surrey
89,88 Ave FS King George Blvd,Surrey,Greater Vancouver,British Columbia,Canada,-122.8457214,49.1628028,KING GEORGE BLVD / 88TH AVE,149,KING GEORGE BLVD / 88TH AVE Surrey
90,Eastbound 72 Ave @ 134 St,Newton,Surrey,Greater Vancouver,V3W 4T1,-122.8513925,49.1334771,13400 72ND AVE,147,13400 72ND AVE Surrey
91,10290,143 Street,Whalley,Surrey,V3T 4T3,-122.8253831,49.1893991,14300 103RD AVE,147,14300 103RD AVE Surrey
92,15274,85 Avenue,Surrey,Greater Vancouver,V3S 6J1,-122.7992741,49.1572193,12800 85TH AVE,146,12800 85TH AVE Surrey
93,900-7380,King George Boulevard,Newton,Surrey,V3W 5A5,-122.8428438,49.1372118,13700 74TH AVE,145,13700 74TH AVE Surrey
94,13809,102 Avenue,Whalley,Surrey,V3T 1N9,-122.8397523,49.1877951,13800 102ND AVE,145,13800 102ND AVE Surrey
95,8005,King George Boulevard,Newton,Surrey,V3W 5B4,-122.8456819,49.1481481,8000 KING GEORGE BLVD,144,8000 KING GEORGE BLVD Surrey
96,19300,Langley Bypass,Surrey,Greater Vancouver,V3S 7R2,-122.6877518,49.1051036,19300 LANGLEY BPS,140,19300 LANGLEY BPS Surrey
97,3000,King George Boulevard,Surrey,Greater Vancouver,V4P 1A2,-122.805798,49.05574,3000 KING GEORGE BLVD,140,3000 KING GEORGE BLVD Surrey
98,159,104 Avenue,Guildford,Surrey,V3R 6Y8,-122.8009848,49.1915254,104TH AVE / 152ND ST,139,104TH AVE / 152ND ST Surrey
99,9800,140 Street,Surrey,Greater Vancouver,V3T 4M5,-122.8331923,49.1799044,9800 140TH ST,138,9800 140TH ST Surrey
100,10716,Whalley Boulevard,Whalley,Surrey,V3T 4H8,-122.8421835,49.1973399,13700 107A AVE,137,13700 107A AVE Surrey
101,12788,76 Avenue,Newton,Surrey,V3W 2T8,-122.8679492,49.1420995,7700 128TH ST,137,7700 128TH ST Surrey
102,118 - 12414,82 Avenue,Newton,Surrey,V3W 3E8,-122.8791038,49.1520486,12400 82ND AVE,136,12400 82ND AVE Surrey
103,588,56 Avenue,East Panorama Ridge,Surrey,V3S 1B8,-122.8061309,49.1042007,15100 56TH AVE,136,15100 56TH AVE Surrey
104,7435,176 Street,Surrey,Greater Vancouver,V3S 4P4,-122.7346666,49.1380072,176TH ST / FRASER HWY,136,176TH ST / FRASER HWY Surrey
105,108 Ave FS King George Blvd,Whalley,Surrey,Greater Vancouver,V3T,-122.8460331,49.1988019,108TH AVE / KING GEORGE BLVD,134,108TH AVE / KING GEORGE BLVD Surrey
106,2610,128th Street,Surrey,Greater Vancouver,V4A 3W5,-122.8669214,49.0496814,2600 128TH ST,134,2600 128TH ST Surrey
107,108 Ave FS 148 St,Guildford,Surrey,Greater Vancouver,V3R,-122.8124861,49.1987331,14800 108TH AVE,133,14800 108TH AVE Surrey
108,21,80 Avenue,Newton,Surrey,V3W 5V6,-122.8881419,49.1489829,8100 120A ST,133,8100 120A ST Surrey
109,152 St FS 88 Ave,Surrey,Greater Vancouver,British Columbia,Canada,-122.8015659,49.1627892,152ND ST / 88TH AVE,132,152ND ST / 88TH AVE Surrey
110,16009,Fraser Highway,Surrey,Greater Vancouver,V4N 0G2,-122.7788826,49.1572877,16000 FRASER HWY,132,16000 FRASER HWY Surrey
111,64 Ave FS 176 St,Cloverdale,Surrey,Greater Vancouver,V3S,-122.734933,49.1187252,176TH ST / 64TH AVE,132,176TH ST / 64TH AVE Surrey
112,3109,British Columbia 99 Alternate,Surrey,Greater Vancouver,V4P 1B8,-122.8093493,49.0584007,3100 KING GEORGE BLVD,132,3100 KING GEORGE BLVD Surrey
113,10520,150 Street,Guildford,Surrey,V3R 4B4,-122.8060853,49.193449,10500 150TH ST,131,10500 150TH ST Surrey
114,13618,100 Avenue,Whalley,Surrey,V3T 0A8,-122.8454059,49.1842491,13600 100TH AVE,131,13600 100TH AVE Surrey
115,128 St FS 88 Ave,Surrey,Greater Vancouver,British Columbia,V3W,-122.8679714,49.1625474,128TH ST / 88TH AVE,130,128TH ST / 88TH AVE Surrey
116,105,University Drive,Whalley,Surrey,V3T 4B3,-122.8511306,49.1987038,13400 108TH AVE,130,13400 108TH AVE Surrey
117,University Dr FS 107A Ave,Whalley,Surrey,Greater Vancouver,V3T,-122.8508103,49.1974778,10700 UNIVERSITY DR,129,10700 UNIVERSITY DR Surrey
118,15196,104 Avenue,Guildford,Surrey,V3R 1N3,-122.8009815,49.1914353,15200 104TH AVE,129,15200 104TH AVE Surrey
119,14730,100 Avenue,Surrey,Greater Vancouver,V3V 7Z2,-122.8121026,49.1842028,10000 148TH ST,128,10000 148TH ST Surrey
120,5858,131A Street,Newton,Surrey,V3X 2L8,-122.8576432,49.1090612,4800 131A ST,126,4800 131A ST Surrey
121,10210,King George Boulevard,Whalley,Surrey,V3T 2W5,-122.8453711,49.1878884,102ND AVE / KING GEORGE BLVD,125,102ND AVE / KING GEORGE BLVD Surrey
122,12510,82 Avenue,Newton,Surrey,V3W 3E9,-122.876241,49.1512229,12500 82ND AVE,125,12500 82ND AVE Surrey
123,13300,108 Avenue,Whalley,Surrey,V3T 2J8,-122.853656,49.1987447,13300 108TH AVE,125,13300 108TH AVE Surrey
124,Scott Rd FS 74 Ave,Greater Vancouver,British Columbia,Canada,Canada,-122.8902492,49.1371264,7400 120TH ST,125,7400 120TH ST Surrey
125,104 Ave FS 148 St,Guildford,Surrey,Greater Vancouver,V3R,-122.8124332,49.1914609,14800 104TH AVE,124,14800 104TH AVE Surrey
126,16604,Fraser Highway,Surrey,Greater Vancouver,V4N 0G6,-122.7631478,49.150807,16600 FRASER HWY,123,16600 FRASER HWY Surrey
127,14290,104 Avenue,Whalley,Surrey,V3T 1X8,-122.8258725,49.1914725,14300 104TH AVE,121,14300 104TH AVE Surrey
128,1830,Southmere Crescent,Surrey,Greater Vancouver,V4A 9C2,-122.8027047,49.0350541,1800 SOUTHMERE CRES E,121,1800 SOUTHMERE CRES E Surrey
129,12808,16 Avenue,Surrey,Greater Vancouver,V4A 1N4,-122.8675194,49.0312789,12800 16TH AVE,120,12800 16TH AVE Surrey
130,13,158 Street,Morgan Heights,Surrey,V3S 2X5,-122.7846388,49.0492481,2700 158TH ST,120,2700 158TH ST Surrey
131,7304,128 Street,Newton,Surrey,V3W 9A1,-122.8675723,49.135535,7300 128TH ST,120,7300 128TH ST Surrey
132,13823,100 Avenue,Whalley,Surrey,V3T 1J4,-122.8395374,49.1842092,13800 100TH AVE,119,13800 100TH AVE Surrey
133,13810,Laurel Drive,Whalley,Surrey,V3T 1A9,-122.8385052,49.1785949,13800 LAUREL DR,119,13800 LAUREL DR Surrey
134,17700,60 Avenue,Cloverdale,Surrey,V3S 1V2,-122.7324348,49.1112896,17700 60TH AVE,118,17700 60TH AVE Surrey
135,7093,Hall Road,Newton,Surrey,V3W 5A2,-122.8455115,49.1313275,7100 KING GEORGE BLVD,118,7100 KING GEORGE BLVD Surrey
136,107-13025,76 Avenue,Newton,Surrey,V3W 2V7,-122.8618301,49.140979,13000 76TH AVE,117,13000 76TH AVE Surrey
137,17,Patricia Bay Highway,Victoria,Saanich,V8Z,-123.3870207,48.48159,HWY 17 / 104TH AVE,117,HWY 17 / 104TH AVE Surrey
138,12702,King George Boulevard,South Westminster,Surrey,Canada,-122.8674175,49.2062626,12700 KING GEORGE BLVD,116,12700 KING GEORGE BLVD Surrey
139,159,104 Avenue,Guildford,Surrey,V3R 6Y8,-122.8009848,49.1915254,152ND ST / 104TH AVE,116,152ND ST / 104TH AVE Surrey
140,152 St FS 19 Ave,Surrey,Greater Vancouver,British Columbia,V4A,-122.8011536,49.0365654,1900 152ND ST,116,1900 152ND ST Surrey
141,13746,Crescent Road,Surrey,Greater Vancouver,V4P 1K8,-122.8423757,49.0635489,13700 CRESCENT RD,115,13700 CRESCENT RD Surrey
142,19500,Langley Bypass,Surrey,Greater Vancouver,V3S 7R2,-122.6825498,49.1079033,19500 LANGLEY BPS,115,19500 LANGLEY BPS Surrey
143,14816,96 Avenue,Surrey,Greater Vancouver,V3R 1E7,-122.8123498,49.1768133,9600 148TH ST,115,9600 148TH ST Surrey
144,140 St FS Fraser Hwy,Surrey,Greater Vancouver,British Columbia,V3T,-122.8344448,49.178799,140TH ST / FRASER HWY,114,140TH ST / FRASER HWY Surrey
145,Southbound King George Blvd @ 94A Ave,Surrey,Greater Vancouver,British Columbia,V3V,-122.8459218,49.173685,9400 KING GEORGE BLVD,114,9400 KING GEORGE BLVD Surrey
146,64 Ave FS 176 St,Cloverdale,Surrey,Greater Vancouver,V3S,-122.7350987,49.118726,17600 64TH AVE,113,17600 64TH AVE Surrey
147,15456,Fraser Highway,Langley Township,Greater Vancouver,V3A 4G6,-122.7934881,49.1630471,88TH AVE / FRASER HWY,113,88TH AVE / FRASER HWY Surrey
148,10608,151A Street,Guildford,Surrey,V3R 1J8,-122.8019298,49.19509,10600 151A ST,112,10600 151A ST Surrey
149,47,96 Avenue,Whalley,Surrey,V3V 1Y8,-122.848655,49.1767697,13500 96TH AVE,112,13500 96TH AVE Surrey
150,132 St FS 100 Ave,Whalley,Surrey,Greater Vancouver,V3T,-122.8565405,49.184382,10000 132ND ST,111,10000 132ND ST Surrey
151,10221,153 Street,Guildford,Surrey,V3R 0L7,-122.7979554,49.1884328,15300 102A AVE,111,15300 102A AVE Surrey
152,128 St FS 76 Ave,Newton,Surrey,Greater Vancouver,V3W,-122.8678486,49.1410308,128TH ST / 76TH AVE,110,128TH ST / 76TH AVE Surrey
153,10,161A Street,Surrey,Greater Vancouver,V3S 9H7,-122.7752171,49.0463375,2400 161A ST,110,2400 161A ST Surrey
154,3102,McBride Avenue,Crescent Beach,Surrey,V4A 3H1,-122.8826545,49.0586742,3100 MCBRIDE AVE,110,3100 MCBRIDE AVE Surrey
155,72 Ave FS 128 St,Newton,Surrey,Greater Vancouver,V3W,-122.8679566,49.1338247,72ND AVE / 128TH ST,110,72ND AVE / 128TH ST Surrey
156,10392,King George Boulevard,Whalley,Surrey,V3T 2W5,-122.8452331,49.191554,KING GEORGE BLVD / 104TH AVE,110,KING GEORGE BLVD / 104TH AVE Surrey
157,88 Ave FS 140 St,Surrey,Greater Vancouver,British Columbia,Canada,-122.834643,49.1627301,140TH ST / 88TH AVE,108,140TH ST / 88TH AVE Surrey
158,2855,King George Boulevard,Surrey,Greater Vancouver,V4P 1B8,-122.8041831,49.0542568,2900 KING GEORGE BLVD,108,2900 KING GEORGE BLVD Surrey
159,10090,152 Street,Guildford,Surrey,V3R 8X8,-122.8008242,49.1861189,10100 152ND ST,107,10100 152ND ST Surrey
160,14200,96 Avenue,Surrey,Greater Vancouver,Canada,-122.8284677,49.1765066,96TH AVE / FRASER HWY,107,96TH AVE / FRASER HWY Surrey
161,152 Street,Surrey,Greater Vancouver,British Columbia,V3R,-122.8014026,49.1659895,FRASER HWY / 152ND ST,107,FRASER HWY / 152ND ST Surrey
162,15277,100 Avenue,Guildford,Surrey,V3R 8X2,-122.7981545,49.1853187,10100 153RD ST,106,10100 153RD ST Surrey
163,8118,128 Street,Newton,Surrey,V3W 1R1,-122.8679969,49.1503182,128TH ST / 82ND AVE,106,128TH ST / 82ND AVE Surrey
164,13280,105 Avenue,Whalley,Surrey,V3T 1Z1,-122.8536677,49.1929909,13300 105TH AVE,106,13300 105TH AVE Surrey
165,13302,76 Avenue,Newton,Surrey,V3W 2W1,-122.8544082,49.1402496,13300 76TH AVE,106,13300 76TH AVE Surrey
166,72 Ave FS 128 St,Newton,Surrey,Greater Vancouver,V3W,-122.8679566,49.1338247,128TH ST / 72ND AVE,105,128TH ST / 72ND AVE Surrey
167,13820,104 Avenue,Whalley,Surrey,V3T 1W9,-122.8397462,49.1915131,13800 104TH AVE,104,13800 104TH AVE Surrey
168,24 Ave FS 160 St,Surrey,Greater Vancouver,British Columbia,V3S 0C8,-122.7791544,49.0456382,2500 160TH ST,104,2500 160TH ST Surrey
169,8005,King George Boulevard,Newton,Surrey,V3W 5B4,-122.8456819,49.1481481,80TH AVE / KING GEORGE BLVD,104,80TH AVE / KING GEORGE BLVD Surrey
170,152 St FS 100 Ave,Surrey,Greater Vancouver,British Columbia,V3R,-122.8008342,49.1839259,10000 152ND ST,103,10000 152ND ST Surrey
171,10478,132 Street,Whalley,Surrey,V3T 3V4,-122.8564469,49.1932476,10500 132ND ST,103,10500 132ND ST Surrey
172,13094,104 Avenue,Surrey,Greater Vancouver,V3T 1T7,-122.8591865,49.191459,13100 104TH AVE,103,13100 104TH AVE Surrey
173,13784,101 Avenue,Whalley,Surrey,V3T 1L4,-122.8399495,49.1855186,13800 101ST AVE,103,13800 101ST AVE Surrey
174,9496,127 Street,Surrey,Greater Vancouver,V3V 5H7,-122.8705052,49.1753314,9500 127TH ST,103,9500 127TH ST Surrey
175,9782,137B Street,Whalley,Surrey,V3T 4K1,-122.8402673,49.1806992,13800 FRASER HWY,102,13800 FRASER HWY Surrey
176,152 St FS 96 Ave,Surrey,Greater Vancouver,British Columbia,V3R,-122.8011784,49.1768821,152ND ST / 96TH AVE,102,152ND ST / 96TH AVE Surrey
177,8220,King George Boulevard,Newton,Surrey,V3W 6E1,-122.8457324,49.1521818,8200 KING GEORGE BLVD,102,8200 KING GEORGE BLVD Surrey
178,8024,120 Street,Newton,Surrey,V3W 3N3,-122.8896462,49.1485343,12000 80TH AVE,101,12000 80TH AVE Surrey
179,Eastbound 105 Ave Lincoln Dr @ Lincoln Dr,Guildford,Surrey,Greater Vancouver,V3R 7C1,-122.8026912,49.1932117,15100 105TH AVE,101,15100 105TH AVE Surrey
180,Eastbound 24 Ave @ 160 St,Surrey,Greater Vancouver,British Columbia,V3S 9N6,-122.7786683,49.0454921,16000 24TH AVE,101,16000 24TH AVE Surrey
181,2220,160 Street,Surrey,Greater Vancouver,V3S 9N6,-122.7791351,49.0434614,2200 160TH ST,101,2200 160TH ST Surrey
182,64 Ave FS 176 St,Cloverdale,Surrey,Greater Vancouver,V3S,-122.734933,49.1187252,64TH AVE / 176TH ST,101,64TH AVE / 176TH ST Surrey
