"","X1","X1_1","street_number","street_name","neighborhood","city","HUNDRED_BLOCK","count","address","postal_code","ID","district","lon","lat"
"38",38,33,"15286","Fraser Highway","Surrey","Greater Vancouver","15300 FRASER HWY",284,"15300 FRASER HWY Surrey","V3R 3P4",140,"NA",-122.7985645,49.1647272
"39",39,34,"10606","King George Boulevard","Whalley","Surrey","10600 KING GEORGE BLVD",283,"10600 KING GEORGE BLVD Surrey","V3T 2X3",77,"Whalley (NA)",-122.8449284,49.1955123
"40",40,35,"72 Ave FS King George Blvd","Newton","Surrey","Greater Vancouver","72ND AVE / KING GEORGE BLVD",267,"72ND AVE / KING GEORGE BLVD Surrey","V3W",298,"Newton (Crescent Heights)",-122.8455282,49.1334851
"41",41,36,"10225","City Parkway","Whalley","Surrey","10200 CITY PKWY",259,"10200 CITY PKWY Surrey","V3T 4C3",255,"Whalley (NA)",-122.8477133,49.1885524
"42",42,37,"1332","102A Avenue","Whalley","Surrey","13300 102A AVE",259,"13300 102A AVE Surrey","V3T 1P6",255,"Whalley (NA)",-122.8542119,49.1888419
"43",43,38,"14057","102A Avenue","Whalley","Surrey","13400 102ND AVE",252,"13400 102ND AVE Surrey","V3T 1P8",255,"Whalley (NA)",-122.8501501,49.1885207
"44",44,39,"15760","Croydon Drive","Surrey","Greater Vancouver","15700 CROYDON DR",251,"15700 CROYDON DR Surrey","V3S 2L6",513,"NA",-122.7847513,49.0462056
"45",45,40,"88 Ave FS King George Blvd","Surrey","Greater Vancouver","British Columbia","88TH AVE / KING GEORGE BLVD",247,"88TH AVE / KING GEORGE BLVD Surrey","Canada",102,"Newton (NA)",-122.8457214,49.1628028
"46",46,41,"13452","108 Avenue","Whalley","Surrey","10800 CITY PKWY",246,"10800 CITY PKWY Surrey","V3T 2K1",76,"Whalley (NA)",-122.8487967,49.1989026
"47",47,42,"9400","128 Street","Surrey","Greater Vancouver","9400 128TH ST",245,"9400 128TH ST Surrey","V3V 5N4",473,"NA",-122.8675209,49.1736188
"48",48,43,"3600","King George Boulevard","Surrey","Greater Vancouver","3600 KING GEORGE BLVD",242,"3600 KING GEORGE BLVD Surrey","V4P 1B5",408,"NA",-122.8203034,49.0678002
"49",49,44,"152 St FS 88 Ave","Surrey","Greater Vancouver","British Columbia","8800 152ND ST",241,"8800 152ND ST Surrey","Canada",482,"NA",-122.8014265,49.1628895
"50",50,45,"Southbound 128 St @ 82 Ave","Newton","Surrey","Greater Vancouver","8100 128TH ST",240,"8100 128TH ST Surrey","V3W 3G1",223,"Newton (NA)",-122.8679761,49.1499273
"51",51,46,"Eastbound 105 Ave @ 150 St","Guildford","Surrey","Greater Vancouver","10600 150TH ST",229,"10600 150TH ST Surrey","V3R 7K3",507,"Guildford (Guildford)",-122.8063386,49.1942492
"52",52,47,"88 Ave FS King George Blvd","Surrey","Greater Vancouver","British Columbia","13700 88TH AVE",229,"13700 88TH AVE Surrey","Canada",469,"Newton (NA)",-122.8457116,49.162704
"53",53,48,"Southbound 144 St @ 57 Ave","South Newton","Surrey","Greater Vancouver","14300 57TH AVE",225,"14300 57TH AVE Surrey","V3X 1A9",320,"South Newton (NA)",-122.8240329,49.1062987
"54",54,48,"Southbound 144 St @ 57 Ave","South Newton","Surrey","Greater Vancouver","14300 57TH AVE",225,"14300 57TH AVE Surrey","V3X 1A9",320,"South Newton (NA)",-122.8240329,49.1062987
"55",55,49,"10392","King George Boulevard","Whalley","Surrey","104TH AVE / KING GEORGE BLVD",224,"104TH AVE / KING GEORGE BLVD Surrey","V3T 2W5",256,"Whalley (NA)",-122.8452331,49.191554
"56",56,50,"17900","20 Avenue","Surrey","Greater Vancouver","17900 20TH AVE",223,"17900 20TH AVE Surrey","V3S",367,"NA",-122.7264465,49.0384345
"57",57,51,"17700","64 Avenue","Cloverdale","Surrey","17700 64TH AVE",222,"17700 64TH AVE Surrey","V3S 1Z2",335,"Cloverdale (NA)",-122.732194,49.118608
"58",58,52,"17700","British Columbia 10","Surrey","Greater Vancouver","17700 56TH AVE",221,"17700 56TH AVE Surrey","V3S 1C7",341,"NA",-122.7324022,49.103497
"59",59,53,"18696","Fraser Highway","North Cloverdale East","Surrey","18700 FRASER HWY",220,"18700 FRASER HWY Surrey","V3S 7Y4",503,"North Cloverdale East (NA)",-122.7037479,49.1245047
"60",60,53,"18696","Fraser Highway","North Cloverdale East","Surrey","18700 FRASER HWY",220,"18700 FRASER HWY Surrey","V3S 7Y4",503,"North Cloverdale East (NA)",-122.7037479,49.1245047
"61",61,54,"10686","139 Street","Whalley","Surrey","10700 139TH ST",217,"10700 139TH ST Surrey","V3T 4L7",79,"Whalley (NA)",-122.8364158,49.1969949
"62",62,55,"16518","Fraser Highway","Surrey","Greater Vancouver","16500 FRASER HWY",215,"16500 FRASER HWY Surrey","V4N 0G5",448,"NA",-122.765237,49.1517237
"63",63,56,"10210","King George Boulevard","Whalley","Surrey","13600 102ND AVE",213,"13600 102ND AVE Surrey","V3T 2W5",255,"Whalley (NA)",-122.8453551,49.1878104
"64",64,56,"10210","King George Boulevard","Whalley","Surrey","13600 102ND AVE",213,"13600 102ND AVE Surrey","V3T 2W5",255,"Whalley (NA)",-122.8453551,49.1878104
"65",65,57,"152 Street","Surrey","Greater Vancouver","British Columbia","152ND ST / FRASER HWY",205,"152ND ST / FRASER HWY Surrey","V3R",482,"NA",-122.8014026,49.1659895
"66",66,58,"34","26 Avenue","Morgan Heights","Surrey","15800 26TH AVE",205,"15800 26TH AVE Surrey","V3S 2X5",513,"Morgan Heights (Morgan Heights)",-122.7828065,49.0491961
"67",67,59,"10501","British Columbia 99 Alternate","Whalley","Surrey","10500 KING GEORGE BLVD",202,"10500 KING GEORGE BLVD Surrey","V3T 2X1",76,"Whalley (NA)",-122.8452261,49.1934629
"68",68,60,"13300","104 Avenue","Whalley","Surrey","13300 104TH AVE",198,"13300 104TH AVE Surrey","V3T 1V4",253,"Whalley (NA)",-122.853667,49.191512
"69",69,61,"10188","Whalley Boulevard","Whalley","Surrey","10200 WHALLEY BLVD",197,"10200 WHALLEY BLVD Surrey","V3T 5J6",91,"Whalley (NA)",-122.842711,49.1875817
"70",70,62,"15030","101 Avenue","Guildford","Surrey","15000 101ST AVE",190,"15000 101ST AVE Surrey","V3R 0N3",23,"Guildford (Johnson Heights)",-122.8057234,49.1860231
"71",71,63,"13300","Old Yale Road","Whalley","Surrey","13300 OLD YALE RD",184,"13300 OLD YALE RD Surrey","V3T 3C6",254,"Whalley (NA)",-122.853708,49.186603
"72",72,64,"13906","Fraser Highway","Whalley","Surrey","13900 FRASER HWY",183,"13900 FRASER HWY Surrey","V3T 4E7",93,"Whalley (NA)",-122.8372997,49.1795024
"73",73,65,"17608","British Columbia 10","Surrey","Greater Vancouver","5600 176TH ST",179,"5600 176TH ST Surrey","V3S 1C5",343,"NA",-122.7350051,49.104125
"74",74,66,"4382","King George Boulevard","Surrey","Greater Vancouver","4600 KING GEORGE BLVD",177,"4600 KING GEORGE BLVD Surrey","V3S 0L2",318,"NA",-122.8199983,49.081711
"75",75,67,"6794","186 Street","North Cloverdale East","Surrey","18600 FRASER HWY",172,"18600 FRASER HWY Surrey","V3S 1Z1",500,"North Cloverdale East (NA)",-122.7070247,49.1257801
"76",76,67,"6794","186 Street","North Cloverdale East","Surrey","18600 FRASER HWY",172,"18600 FRASER HWY Surrey","V3S 1Z1",500,"North Cloverdale East (NA)",-122.7070247,49.1257801
"77",77,68,"10700","150 Street","Guildford","Surrey","10700 150TH ST",169,"10700 150TH ST Surrey","V3R 4C3",507,"Guildford (Guildford)",-122.8048093,49.1967817
"78",78,69,"64 Ave FS King George Blvd","Newton","Surrey","Greater Vancouver","64TH AVE / KING GEORGE BLVD",168,"64TH AVE / KING GEORGE BLVD Surrey","Canada",184,"Newton (NA)",-122.8456164,49.1190038
"79",79,70,"128 St FS 96 Ave","Surrey","Greater Vancouver","British Columbia","128TH ST / 96TH AVE",165,"128TH ST / 96TH AVE Surrey","V3V 6A8",267,"NA",-122.8680917,49.1771265
"80",80,71,"13711","72 Avenue","Newton","Surrey","13700 72ND AVE",162,"13700 72ND AVE Surrey","V3W 2P2",301,"Newton (NA)",-122.8427847,49.1335284
"81",81,72,"8260","128 Street","Newton","Surrey","8300 128TH ST",161,"8300 128TH ST Surrey","V3W 4G2",289,"Newton (NA)",-122.8674453,49.1535222
"82",82,73,"128 St FS 96 Ave","Surrey","Greater Vancouver","British Columbia","9500 128TH ST",161,"9500 128TH ST Surrey","V3V 6A8",473,"NA",-122.8679718,49.1771275
"83",83,74,"128 St FS 96 Ave","Surrey","Greater Vancouver","British Columbia","96TH AVE / 128TH ST",161,"96TH AVE / 128TH ST Surrey","V3V 6A8",267,"NA",-122.8680917,49.1771265
"84",84,75,"14900","57 Avenue","South Newton","Surrey","14900 57TH AVE",160,"14900 57TH AVE Surrey","V3S 8W3",495,"South Newton (NA)",-122.8096789,49.1061596
"85",85,75,"14900","57 Avenue","South Newton","Surrey","14900 57TH AVE",160,"14900 57TH AVE Surrey","V3S 8W3",495,"South Newton (NA)",-122.8096789,49.1061596
"86",86,76,"152 St FS Hwy 10","Surrey","Greater Vancouver","British Columbia","152ND ST / 56TH AVE",159,"152ND ST / 56TH AVE Surrey","V3S",495,"Newton (NA)",-122.8011739,49.1045154
"87",87,77,"King George Blvd FS 76 Ave","Newton","Surrey","Greater Vancouver","76TH AVE / KING GEORGE BLVD",159,"76TH AVE / KING GEORGE BLVD Surrey","V3W",114,"Newton (NA)",-122.8456282,49.1407871
"88",88,78,"7181","126 Street","Newton","Surrey","12600 72ND AVE",158,"12600 72ND AVE Surrey","V3W 2M6",202,"Newton (NA)",-122.8736383,49.1334415
"89",89,79,"King George Blvd FS 96 Ave","Surrey","Greater Vancouver","British Columbia","96TH AVE / KING GEORGE BLVD",158,"96TH AVE / KING GEORGE BLVD Surrey","Canada",258,"Whalley (NA)",-122.8456401,49.1770793
"90",90,80,"1000","Guildford Town Centre","Guildford","Surrey","1000 GUILDFORD TOWN CTR",157,"1000 GUILDFORD TOWN CTR Surrey","V3R 1N3",23,"Guildford (Johnson Heights)",-122.8047627,49.1881597
"91",91,81,"10392","King George Boulevard","Whalley","Surrey","10400 KING GEORGE BLVD",156,"10400 KING GEORGE BLVD Surrey","V3T 2W5",256,"Whalley (NA)",-122.8452331,49.191554
"92",92,82,"64 Ave FS 152 St","Surrey","Greater Vancouver","British Columbia","152ND ST / 64TH AVE",156,"152ND ST / 64TH AVE Surrey","V3S",538,"NA",-122.8010616,49.1191135
"93",93,83,"Northbound Scott Rd @ 72 Ave","Newton","Surrey","Greater Vancouver","7300 120TH ST",156,"7300 120TH ST Surrey","V3W 3M9",207,"Newton (Strawberry Hill)",-122.890264,49.1351027
"94",94,84,"13618","100 Avenue","Whalley","Surrey","10000 KING GEORGE BLVD",152,"10000 KING GEORGE BLVD Surrey","V3T 0A8",254,"Whalley (NA)",-122.8453983,49.1840948
"95",95,85,"15091","108 Avenue","Guildford","Surrey","15100 108TH AVE",150,"15100 108TH AVE Surrey","V3R 1W5",27,"Guildford (NA)",-122.8036268,49.1987383
"96",96,86,"128 St FS 80 Ave","Newton","Surrey","Greater Vancouver","128TH ST / 80TH AVE",149,"128TH ST / 80TH AVE Surrey","V3W",223,"Newton (NA)",-122.8680816,49.1482197
"97",97,87,"202","2383","King George Boulevard","Surrey","15500 24TH AVE",149,"15500 24TH AVE Surrey","V4A 5A4",413,"NA",-122.7935855,49.0455311
"98",98,88,"9634","King George Boulevard","Whalley","Surrey","9600 KING GEORGE BLVD",149,"9600 KING GEORGE BLVD Surrey","V3T 2V4",258,"Whalley (NA)",-122.8456133,49.1774098
"99",99,89,"88 Ave FS King George Blvd","Surrey","Greater Vancouver","British Columbia","KING GEORGE BLVD / 88TH AVE",149,"KING GEORGE BLVD / 88TH AVE Surrey","Canada",102,"Newton (NA)",-122.8457214,49.1628028
"100",100,90,"Eastbound 72 Ave @ 134 St","Newton","Surrey","Greater Vancouver","13400 72ND AVE",147,"13400 72ND AVE Surrey","V3W 4T1",297,"Newton (NA)",-122.8513925,49.1334771
"101",101,91,"10290","143 Street","Whalley","Surrey","14300 103RD AVE",147,"14300 103RD AVE Surrey","V3T 4T3",89,"Whalley (NA)",-122.8253831,49.1893991
"102",102,92,"15274","85 Avenue","Surrey","Greater Vancouver","12800 85TH AVE",146,"12800 85TH AVE Surrey","V3S 6J1",143,"NA",-122.7992741,49.1572193
"103",103,93,"900-7380","King George Boulevard","Newton","Surrey","13700 74TH AVE",145,"13700 74TH AVE Surrey","V3W 5A5",114,"Newton (NA)",-122.8428438,49.1372118
"104",104,94,"13809","102 Avenue","Whalley","Surrey","13800 102ND AVE",145,"13800 102ND AVE Surrey","V3T 1N9",256,"Whalley (NA)",-122.8397523,49.1877951
"105",105,95,"8005","King George Boulevard","Newton","Surrey","8000 KING GEORGE BLVD",144,"8000 KING GEORGE BLVD Surrey","V3W 5B4",112,"Newton (NA)",-122.8456819,49.1481481
"106",106,96,"19300","Langley Bypass","Surrey","Greater Vancouver","19300 LANGLEY BPS",140,"19300 LANGLEY BPS Surrey","V3S 7R2",358,"NA",-122.6877518,49.1051036
"107",107,97,"3000","King George Boulevard","Surrey","Greater Vancouver","3000 KING GEORGE BLVD",140,"3000 KING GEORGE BLVD Surrey","V4P 1A2",409,"NA",-122.805798,49.05574
"108",108,98,"159","104 Avenue","Guildford","Surrey","104TH AVE / 152ND ST",139,"104TH AVE / 152ND ST Surrey","V3R 6Y8",23,"Guildford (Johnson Heights)",-122.8009848,49.1915254
"109",109,99,"9800","140 Street","Surrey","Greater Vancouver","9800 140TH ST",138,"9800 140TH ST Surrey","V3T 4M5",86,"Whalley (NA)",-122.8331923,49.1799044
"110",110,100,"10716","Whalley Boulevard","Whalley","Surrey","13700 107A AVE",137,"13700 107A AVE Surrey","V3T 4H8",77,"Whalley (NA)",-122.8421835,49.1973399
"111",111,101,"12788","76 Avenue","Newton","Surrey","7700 128TH ST",137,"7700 128TH ST Surrey","V3W 2T8",290,"Newton (NA)",-122.8679492,49.1420995
"112",112,102,"118 - 12414","82 Avenue","Newton","Surrey","12400 82ND AVE",136,"12400 82ND AVE Surrey","V3W 3E8",223,"Newton (NA)",-122.8791038,49.1520486
"113",113,103,"588","56 Avenue","East Panorama Ridge","Surrey","15100 56TH AVE",136,"15100 56TH AVE Surrey","V3S 1B8",323,"East Panorama Ridge (NA)",-122.8061309,49.1042007
"114",114,103,"588","56 Avenue","East Panorama Ridge","Surrey","15100 56TH AVE",136,"15100 56TH AVE Surrey","V3S 1B8",323,"East Panorama Ridge (NA)",-122.8061309,49.1042007
"115",115,104,"7435","176 Street","Surrey","Greater Vancouver","176TH ST / FRASER HWY",136,"176TH ST / FRASER HWY Surrey","V3S 4P4",575,"NA",-122.7346666,49.1380072
"116",116,105,"108 Ave FS King George Blvd","Whalley","Surrey","Greater Vancouver","108TH AVE / KING GEORGE BLVD",134,"108TH AVE / KING GEORGE BLVD Surrey","V3T",76,"Whalley (NA)",-122.8460331,49.1988019
"117",117,106,"2610","128th Street","Surrey","Greater Vancouver","2600 128TH ST",134,"2600 128TH ST Surrey","V4A 3W5",400,"NA",-122.8669214,49.0496814
"118",118,107,"108 Ave FS 148 St","Guildford","Surrey","Greater Vancouver","14800 108TH AVE",133,"14800 108TH AVE Surrey","V3R",26,"Guildford (NA)",-122.8124861,49.1987331
"119",119,108,"21","80 Avenue","Newton","Surrey","8100 120A ST",133,"8100 120A ST Surrey","V3W 5V6",218,"Newton (NA)",-122.8881419,49.1489829
"120",120,109,"152 St FS 88 Ave","Surrey","Greater Vancouver","British Columbia","152ND ST / 88TH AVE",132,"152ND ST / 88TH AVE Surrey","Canada",141,"NA",-122.8015659,49.1627892
"121",121,110,"16009","Fraser Highway","Surrey","Greater Vancouver","16000 FRASER HWY",132,"16000 FRASER HWY Surrey","V4N 0G2",159,"NA",-122.7788826,49.1572877
"122",122,111,"64 Ave FS 176 St","Cloverdale","Surrey","Greater Vancouver","176TH ST / 64TH AVE",132,"176TH ST / 64TH AVE Surrey","V3S",332,"Cloverdale (NA)",-122.734933,49.1187252
"123",123,112,"3109","British Columbia 99 Alternate","Surrey","Greater Vancouver","3100 KING GEORGE BLVD",132,"3100 KING GEORGE BLVD Surrey","V4P 1B8",408,"NA",-122.8093493,49.0584007
"124",124,113,"10520","150 Street","Guildford","Surrey","10500 150TH ST",131,"10500 150TH ST Surrey","V3R 4B4",507,"Guildford (Guildford)",-122.8060853,49.193449
"125",125,114,"13618","100 Avenue","Whalley","Surrey","13600 100TH AVE",131,"13600 100TH AVE Surrey","V3T 0A8",254,"Whalley (NA)",-122.8454059,49.1842491
"126",126,115,"128 St FS 88 Ave","Surrey","Greater Vancouver","British Columbia","128TH ST / 88TH AVE",130,"128TH ST / 88TH AVE Surrey","V3W",223,"Newton (NA)",-122.8679714,49.1625474
"127",127,116,"105","University Drive","Whalley","Surrey","13400 108TH AVE",130,"13400 108TH AVE Surrey","V3T 4B3",76,"Whalley (NA)",-122.8511306,49.1987038
"128",128,116,"105","University Drive","Whalley","Surrey","13400 108TH AVE",130,"13400 108TH AVE Surrey","V3T 4B3",76,"Whalley (NA)",-122.8511306,49.1987038
"129",129,117,"University Dr FS 107A Ave","Whalley","Surrey","Greater Vancouver","10700 UNIVERSITY DR",129,"10700 UNIVERSITY DR Surrey","V3T",76,"Whalley (NA)",-122.8508103,49.1974778
"130",130,118,"15196","104 Avenue","Guildford","Surrey","15200 104TH AVE",129,"15200 104TH AVE Surrey","V3R 1N3",23,"Guildford (Johnson Heights)",-122.8009815,49.1914353
"131",131,119,"14730","100 Avenue","Surrey","Greater Vancouver","10000 148TH ST",128,"10000 148TH ST Surrey","V3V 7Z2",86,"NA",-122.8121026,49.1842028
"132",132,120,"5858","131A Street","Newton","Surrey","4800 131A ST",126,"4800 131A ST Surrey","V3X 2L8",188,"Newton (Panorame Ridge)",-122.8576432,49.1090612
"133",133,121,"10210","King George Boulevard","Whalley","Surrey","102ND AVE / KING GEORGE BLVD",125,"102ND AVE / KING GEORGE BLVD Surrey","V3T 2W5",255,"Whalley (NA)",-122.8453711,49.1878884
"134",134,121,"10210","King George Boulevard","Whalley","Surrey","102ND AVE / KING GEORGE BLVD",125,"102ND AVE / KING GEORGE BLVD Surrey","V3T 2W5",255,"Whalley (NA)",-122.8453711,49.1878884
"135",135,122,"12510","82 Avenue","Newton","Surrey","12500 82ND AVE",125,"12500 82ND AVE Surrey","V3W 3E9",223,"Newton (NA)",-122.876241,49.1512229
"136",136,123,"13300","108 Avenue","Whalley","Surrey","13300 108TH AVE",125,"13300 108TH AVE Surrey","V3T 2J8",76,"Whalley (NA)",-122.853656,49.1987447
"137",137,123,"13300","108 Avenue","Whalley","Surrey","13300 108TH AVE",125,"13300 108TH AVE Surrey","V3T 2J8",76,"Whalley (NA)",-122.853656,49.1987447
"138",138,124,"Scott Rd FS 74 Ave","Greater Vancouver","British Columbia","Canada","7400 120TH ST",125,"7400 120TH ST Surrey","Canada",207,"Newton (Strawberry Hill)",-122.8902492,49.1371264
"139",139,125,"104 Ave FS 148 St","Guildford","Surrey","Greater Vancouver","14800 104TH AVE",124,"14800 104TH AVE Surrey","V3R",25,"Guildford (Johnson Heights)",-122.8124332,49.1914609
"140",140,126,"16604","Fraser Highway","Surrey","Greater Vancouver","16600 FRASER HWY",123,"16600 FRASER HWY Surrey","V4N 0G6",448,"NA",-122.7631478,49.150807
"141",141,127,"14290","104 Avenue","Whalley","Surrey","14300 104TH AVE",121,"14300 104TH AVE Surrey","V3T 1X8",89,"Whalley (NA)",-122.8258725,49.1914725
"142",142,128,"1830","Southmere Crescent","Surrey","Greater Vancouver","1800 SOUTHMERE CRES E",121,"1800 SOUTHMERE CRES E Surrey","V4A 9C2",416,"NA",-122.8027047,49.0350541
"143",143,129,"12808","16 Avenue","Surrey","Greater Vancouver","12800 16TH AVE",120,"12800 16TH AVE Surrey","V4A 1N4",387,"NA",-122.8675194,49.0312789
"144",144,130,"13","158 Street","Morgan Heights","Surrey","2700 158TH ST",120,"2700 158TH ST Surrey","V3S 2X5",594,"Morgan Heights (NA)",-122.7846388,49.0492481
"145",145,131,"7304","128 Street","Newton","Surrey","7300 128TH ST",120,"7300 128TH ST Surrey","V3W 9A1",293,"Newton (NA)",-122.8675723,49.135535
"146",146,132,"13823","100 Avenue","Whalley","Surrey","13800 100TH AVE",119,"13800 100TH AVE Surrey","V3T 1J4",92,"Whalley (NA)",-122.8395374,49.1842092
"147",147,133,"13810","Laurel Drive","Whalley","Surrey","13800 LAUREL DR",119,"13800 LAUREL DR Surrey","V3T 1A9",95,"Whalley (NA)",-122.8385052,49.1785949
"148",148,134,"17700","60 Avenue","Cloverdale","Surrey","17700 60TH AVE",118,"17700 60TH AVE Surrey","V3S 1V2",342,"Cloverdale (NA)",-122.7324348,49.1112896
